"filename", "language", "JavaScript", "JavaScript JSX", "XML", "PostCSS", "Markdown", "HTML", "JSON", "Dotenv", "Git Commit Message", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 4
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\.git\COMMIT_EDITMSG", "Git Commit Message", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 17691, 0, 0, 0, 1, 17692
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\package.json", "JSON", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.css", "PostCSS", 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 11, 82
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Button.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Header.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\TextInput.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Textarea.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Typography.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 0, 4, 8, 104
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\AddCart.jsx", "JavaScript JSX", 0, 108, 0, 0, 0, 0, 0, 0, 0, 7, 13, 128
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\CategoryCart.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\ProductCart.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 0, 9, 19, 169
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\BNavBar.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\Footer.jsx", "JavaScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 7, 15, 112
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\HeartCursor.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 15, 52
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\NavBar.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\PublicLayout.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\TNavBar.jsx", "JavaScript JSX", 0, 157, 0, 0, 0, 0, 0, 0, 0, 39, 21, 217
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\About.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 2, 7, 58
