"filename", "language", "JavaScript", "JavaScript JSX", "Git Commit Message", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\.git\COMMIT_EDITMSG", "Git Commit Message", 0, 0, -1, 0, -1, -2
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\TextInput.jsx", "JavaScript JSX", 0, -5, 0, 0, 0, -5
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Textarea.jsx", "JavaScript JSX", 0, -9, 0, 0, 0, -9
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Typography.jsx", "JavaScript JSX", 0, -19, 0, 0, 0, -19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\AddCart.jsx", "JavaScript JSX", 0, -16, 0, 0, 0, -16
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\CategoryCart.jsx", "JavaScript JSX", 0, -2, 0, 0, 0, -2
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\ProductCart.jsx", "JavaScript JSX", 0, -25, 0, 0, 0, -25
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\Footer.jsx", "JavaScript JSX", 0, -7, 0, 0, 0, -7
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\TNavBar.jsx", "JavaScript JSX", 0, 0, 0, -30, -3, -33
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\About.jsx", "JavaScript JSX", 0, -5, 0, 0, 0, -5
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\CustomerTestimonials.jsx", "JavaScript JSX", 0, -10, 0, 0, 0, -10
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Products.jsx", "JavaScript JSX", 0, -3, 0, 0, 0, -3
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\Banner.jsx", "JavaScript JSX", 0, -6, 0, 0, 0, -6
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\CategoryProduct.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, -14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\MobileFilterDrawer.jsx", "JavaScript JSX", 0, -30, 0, 0, 0, -30
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\ProductFilter.jsx", "JavaScript JSX", 0, -22, 0, 0, 0, -22
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleProduct\SingleProduct.jsx", "JavaScript JSX", 0, -3, 0, 0, 0, -3
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\context\CartContext.js", "JavaScript", -8, 0, 0, 0, 0, -8
"Total", "-", -8, -176, -1, -30, -4, -219
