"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "PostCSS", "HTML", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 4
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\package-lock.json", "JSON", 0, 0, 17691, 0, 0, 0, 0, 0, 0, 1, 17692
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.css", "PostCSS", 0, 0, 0, 0, 70, 0, 0, 0, 1, 11, 82
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 1, 7, 61
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\Theme\Typography.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 4, 8, 85
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\AddCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 7, 13, 112
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\CategoryCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 3, 6, 34
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\cart\ProductCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 9, 19, 144
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\BNavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 1, 3, 36
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 7, 15, 105
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\HeartCursor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 2, 15, 52
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 2, 3, 16
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\PublicLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Components\layout\TNavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 9, 18, 184
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 2, 7, 53
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AddToCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 3, 33, 192
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AllCategories.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 1, 4, 48
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AllProducts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 19, 24, 211
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\CheckOut.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 237, 0, 11, 28, 276
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 3, 15, 92
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 3, 8, 48
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 6, 18, 148
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 448, 0, 13, 49, 510
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 6, 25, 186
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\SearchPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 2, 10, 70
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Terms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 7, 10, 101
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\ThankYou.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\AboutSkinOra.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 30, 10, 97
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Categorys.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 5, 10, 99
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\CustomerTestimonials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 3, 11, 74
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Features.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 5, 9, 63
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 9, 61
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 2, 10, 53
